id;screen_name;created_at;fav;rt;text;media1;media2;media3;media4;compound;neg;neu;pos
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1628374140687204354"", ""1628374140687204354"")";petrogustavo;22/02/2023;4287;1959;Asi se robaron el dinero de la salud y la salud a Colombia. Fue usando el manejo de dineros públicos por las EPS que millones de pesos fueron saqueados. Eso debe terminar. https://t.co/sYAAIdjkhe;;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1628126654651400192"", ""1628126654651400192"")";petrogustavo;21/02/2023;3042;877;Con el campesinado de Choachí. https://t.co/b92jRb4bCk;"=HYPERLINK(""http://pbs.twimg.com/media/FphEjvfXEA0ZWpJ.jpg"", ""http://pbs.twimg.com/media/FphEjvfXEA0ZWpJ.jpg"")";;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1628109457149263896"", ""1628109457149263896"")";petrogustavo;21/02/2023;8065;3389;Esto es una absurda y completa mentira. Fakenews. https://t.co/eMB7UJMw0N;;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1628096042225762310"", ""1628096042225762310"")";petrogustavo;21/02/2023;23539;3149;Esto fue lo que pasó con el niño embera en Bogotá. Un lamentable accidente. https://t.co/iVQn636cxh;"=HYPERLINK(""https://video.twimg.com/ext_tw_video/1628096010080722944/pu/vid/640x352/5H1mepAIJ451QaNn.mp4?tag=12"", ""https://video.twimg.com/ext_tw_video/1628096010080722944/pu/vid/640x352/5H1mepAIJ451QaNn.mp4?tag=12"")";;;;-3612;152;848;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1628090429454286860"", ""1628090429454286860"")";petrogustavo;21/02/2023;5869;2040;La ministra de salud @carolinacorcho tiene todo mi respaldo. https://t.co/QDSTF4VnHt;;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1628088244301705246"", ""1628088244301705246"")";petrogustavo;21/02/2023;3586;1292;Estas son las ciudades más violentas del mundo,(2022). Colombia ha avanzado mucho en la reducción del homicidio y aún se puede hacer más. https://t.co/FZ5T2DjveY;"=HYPERLINK(""http://pbs.twimg.com/media/FpghnveXsBYoFoh.jpg"", ""http://pbs.twimg.com/media/FpghnveXsBYoFoh.jpg"")";"=HYPERLINK(""http://pbs.twimg.com/media/FpghoL7XsCAH5OD.jpg"", ""http://pbs.twimg.com/media/FpghoL7XsCAH5OD.jpg"")";;;34;0;902;98
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1628079987973672960"", ""1628079987973672960"")";petrogustavo;21/02/2023;13647;4128;"Se supenden varios requisitos de titulos de bachiler y primaria para estudiar técnicos en el Sena

Se educará en energias limpias y conunidades de conectividad al campesinado.

La decisón de hacer una reforma agraria es irreversible.

CampeSena. https://t.co/9fiFkhi8Nm";"=HYPERLINK(""http://pbs.twimg.com/media/FpgaGt3XsAY7bnD.jpg"", ""http://pbs.twimg.com/media/FpgaGt3XsAY7bnD.jpg"")";;;;-2023;49;951;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1628058368660103172"", ""1628058368660103172"")";petrogustavo;21/02/2023;4948;1602;"Inauguro con el campesinado de Cundinamarca el SENA  campesino, CampeSena en Mosquera, Cundinamarca.

El sabor para millones de campesinos https://t.co/oyWxRoEPqI";"=HYPERLINK(""http://pbs.twimg.com/media/FpgGcFTWAAEb_vs.jpg"", ""http://pbs.twimg.com/media/FpgGcFTWAAEb_vs.jpg"")";;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1628031038046760960"", ""1628031038046760960"")";petrogustavo;21/02/2023;2047;746;"El crédito a microempresas debe crecer sustancialmente como medida anticíclica y  debemos impulsar una disminución tambien sustancial de la intermediación financiera. Medida que debería tomar el sector financiero de manera, hoy por hoy, autorregulada.
  https://t.co/qVTjJ6cghH";;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1627838924075724802"", ""1627838924075724802"")";petrogustavo;21/02/2023;3874;1279;Con Ngozi Okonjo-Iweala, directora de la Organización Mundial del Comercio, OMC, dialogamos sobre la pertinencia de adaptar las normas comerciales a la lucha contra el cambio climático, la soberanía alimentaria, la producción nacional de medicamentos y el tratado mundial de pesca https://t.co/XXvSPx2Mn5;"=HYPERLINK(""http://pbs.twimg.com/media/Fpc-3ccXgAEKfZ3.jpg"", ""http://pbs.twimg.com/media/Fpc-3ccXgAEKfZ3.jpg"")";"=HYPERLINK(""http://pbs.twimg.com/media/Fpc-3ybWcAAqJE-.jpg"", ""http://pbs.twimg.com/media/Fpc-3ybWcAAqJE-.jpg"")";;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1627802133939494913"", ""1627802133939494913"")";petrogustavo;20/02/2023;1547;527;"Chapinero y las reformas sociales que presentamos.

https://t.co/3GaqQHrfQ5";;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1627801022360846336"", ""1627801022360846336"")";petrogustavo;20/02/2023;9853;2125;"Murió en Estados Unidos, Elisabeth Vollert. Estudiaba un doctorado en Nueva York cuando la sorprendió la muerte. Organizó desde el 2017 los nodos de Colombia Humana Internacional. 

QEPD https://t.co/dw9TeLTyTY";"=HYPERLINK(""http://pbs.twimg.com/media/FpccZtbXgAMSDIM.jpg"", ""http://pbs.twimg.com/media/FpccZtbXgAMSDIM.jpg"")";;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1627654673384587265"", ""1627654673384587265"")";petrogustavo;20/02/2023;1771;687;"El sistema tarifario únivo, que se perfeccionará con una Adres más capaz,permite que no se quiebren hospitales y mejore la condición salarial de la fuerza laboral de la salud

En manos de las EPS llevó a la quiebra de hospitales, la integración vertical y la pauperización laboral";;;;;-296;49;951;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1627654670733770752"", ""1627654670733770752"")";petrogustavo;20/02/2023;3236;1287;Uno de los mayores aportes de la reforma a la salud, después de establecer un fuerte sistema de atención primaria y prevención, que reduce en el tiempo los costos de la salud, es el sistema nacional tarifario único en la Adres. https://t.co/V5gJ8Ea1vz;;;;;0;0;10;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1627641899149303808"", ""1627641899149303808"")";petrogustavo;20/02/2023;6115;2634;Esto no es cierto. Duramos horas de reuniones , durante varios dias, en conjunto. Discutiendo y evaluando pormenorizadamente la reforna a la salud. https://t.co/DhsrqE43LS;;;;;-296;99;901;0
"=HYPERLINK(""http://www.twitter.com/merchan9sebas/status/1627467049285869570"", ""1627467049285869570"")";petrogustavo;20/02/2023;12818;3428;Reitero América Latina debe ser un espacio sin presos políticos y sin presos sociales. Toda violación a los derechos humanos debe ser condenada por toda la comunidad internacional. Mi solidaridad con los 94 nicaragüenses que fueron despojados de su nacionalidad.;;;;;-802;167;833;0
